word_ja	word_ko
舞台:名詞|ステージ:名詞	무대:NNG
多い:形容詞	많:VA
天使:名詞	천사:NNG
恥:名詞|羞恥心:名詞	부끄러움:NNG|부끄럼:NNG
膝:名詞	무릎:NNG
シャワー:名詞	샤워:NNG
日差し:名詞	햇살:NNG|햇빛:NNG
狂う:動詞	미치:VV
理解:名詞	이해:NNG
ケンカ:名詞|喧嘩:名詞|けんか:名詞	싸움:NNG
一言:名詞	한마디:NNG
感覚:名詞	감각:NNG
ささやく:動詞|囁く:動詞	속삭이:VV
音楽:名詞|ミュージック:名詞	음악:NNG|뮤직:NNG
騙す:動詞	속이:VV
スタイル:名詞	스타일:NNG|몸매:NNG
得る:動詞	얻:VV
眼差し:名詞|まなざし:名詞	눈빛:NNG
盗む:動詞	훔치:VV
未練:名詞	미련:NNG
さよなら:名詞|バイバイ。:名詞|グッバイ:名詞|サヨナラ:名詞|ハイ:名詞	안녕:NNG|굿바이:NNP
傷跡:名詞	흉터:NNG
感動:名詞	감동:NNG
座る:動詞	앉:VV
表情:名詞	표정:NNG
ゲーム:名詞	게임:NNG
罠:名詞	함정:NNG
明かり:名詞	불빛:NNG
半分:名詞	반:NNG|절반:NNG|반쪽:NNG
平和:名詞	평화:NNG
会話:名詞|対話:名詞	대화:NNG
うれしい:形容詞	기쁘:VA
蝶:名詞	나비:NNG
酒:名詞	술:NNG
最近:名詞	요즘:NNG
ガラス:名詞|硝子:名詞	유리:NNG
首:名詞	목:NNG|고개:NNG
回す:動詞	돌리:VV
結果:名詞	결과:NNG
争い:名詞	다툼:NNG
脱ぐ:動詞	벗:VV
ベル:名詞|鐘:名詞	벨:NNP
完璧:名詞	완벽:NNG
プレゼント:名詞|おみやげ:名詞	선물:NNG
事実:名詞	사실:NNG
映画:名詞	영화:NNG
過ち:名詞	잘못:NNG
明るい:形容詞	밝:VA|환하:VA
腰:名詞	허리:NNG
ミステリー:名詞	미스테리:NNG
片思い:名詞|片恋:名詞	짝사랑:NNG
殺す:動詞	죽이:VV
説明:名詞	설명:NNG
休む:動詞	쉬:VV
行動:名詞	행동:NNG
魅力:名詞	매력:NNG
靴:名詞|くつ:名詞	구두:NNG|신발:NNG
後ろ姿:名詞	뒷모습:NNG
昼:名詞|昼間:名詞	낮:NNG
最大:名詞	최대:NNG
テレビ:名詞	티비:NNG
許し:名詞	허락:NNG
美味しい:形容詞|おいしい:形容詞	맛있:VA
生活:名詞|暮らし:名詞|くらし:名詞	생활:NNG
グラス:名詞	글래스:NNP
携帯:名詞|携帯電話:名詞	핸드폰:NNG|휴대폰:NNG
歳月:名詞	세월:NNG
春風:名詞	봄바람:NNG
葉:名詞	잎:NNG
お金:名詞	돈:NNG
不幸:名詞	불행:NNG
つま先:名詞	발끝:NNG
怒り:名詞	분노:NNG|화:NNG
パーティ:名詞	파티:NNG
夕立:名詞	소나기:NNG
ピアノ:名詞	피아노:NNG
選択:名詞	선택:NNG
ベッド:名詞	침대:NNG
欲:名詞	욕심:NNG
性格:名詞	성격:NNG
嫉妬:名詞|ジェラシー:名詞	질투:NNG
踊り:名詞	춤:NNG
かわいい:形容詞	귀엽:VA|이쁘:VA|예쁘:VA
刺激:名詞	자극:NNG
焦らす:動詞	애태우:VV
透明:名詞	투명:NNG
忙しい:形容詞	바쁘:VA
狭い:形容詞	좁:VA
天国:名詞	천국:NNG
噛む:動詞	씹:VV
地面:名詞	땅:NNG
文字:名詞	글자:NNG
好み:名詞	취향:NNG
凍る:動詞	얼:VV
緊張:名詞	긴장:NNG
失恋:名詞	실연:NNG
ドラマ:名詞	드라마:NNG
天気:名詞	날씨:NNG
酸素:名詞	산소:NNG
口癖:名詞	입버릇:NNG
独り言:名詞	혼잣말:NNG
坂道:名詞	오르막길:NNG
いたずら:名詞	장난:NNG
カフェ:名詞	카페:NNG
試練:名詞	시련:NNG
拒否:名詞	거부:NNG
常:名詞|普段:名詞	평소:NNG
練習:名詞	연습:NNG
初恋:名詞|はつ恋:名詞	첫사랑:NNG
汚い:形容詞	더럽:VA
確認:名詞	확인:NNG
ショー:名詞	쇼:NNG
反対:名詞	반대:NNG
速度:名詞|スピード:名詞	속도:NNG
かき氷:名詞	빙수:NNG
夜中:名詞	밤새:NNG
失望:名詞	실망:NNG
丘:名詞	언덕:NNG
耳元:名詞	귓가:NNG
容易い:形容詞	쉽:VA
足取り:名詞	발걸음:NNG|걸음:NNG
キャンディー:名詞	캔디:NNG|사탕:NNG
羨ましい:形容詞|うらやましい:形容詞	부럽:VA
贅沢:名詞	사치:NNG
紹介:名詞	소개:NNG
歌詞:名詞	가사:NNG
スカート:名詞	치마:NNG
からい:形容詞	맵:VA
柔らかい:形容詞	부드럽:VA
純粋:名詞|ピュア:名詞	순수:NNG
返事:名詞	대답:NNG|답장:NNG
空間:名詞	공간:NNG
サビ:名詞|錆:名詞	녹:NNG
憎む:動詞	미워하:VV
指輪:名詞	반지:NNG
自慢:名詞	자랑:NNG
化粧:名詞	화장:NNG
確信:名詞	확신:NNG
母:名詞|母ちゃん:名詞|母さん:名詞|母親:名詞|お母さん:名詞|ママ:名詞|お母ちゃん:名詞	어머니:NNG|엄마:NNG|마마:NNG|어머님:NNG
うるさい:形容詞|騒がしい:形容詞	시끄럽:VA
概念:名詞	개념:NNG
窓辺:名詞	창가:NNG
一杯:名詞	한잔:NNG
趣味:名詞	취미:NNG
表現:名詞	표현:NNG
救い:名詞	구원:NNG
人気:名詞	인기:NNG
終える:動詞	끝내:VV
面倒い:形容詞	귀찮:VA
精神:名詞	정신:NNG
口笛:名詞	휘파람:NNG
エネルギー:名詞	에너지:NNG
挨拶:名詞	인사:NNG|인사말:NNG
震え:名詞	떨림:NNG
憎い:形容詞	밉:VA
男と女:名詞	남녀:NNG
コーヒー:名詞	커피:NNG
比較:名詞	비교:NNG
髪の毛:名詞|髪:名詞	머리카락:NNG
神経:名詞	신경:NNG
ボリューム:名詞	볼륨:NNG
拍手:名詞|喝采:名詞	박수:NNG
質問:名詞|問い:名詞	질문:NNG|물음:NNG
口元:名詞	입가:NNG
低い:形容詞	낮:VA
鼻:名詞	코:NNG
ご飯:名詞	밥:NNG
連絡:名詞	연락:NNG
氷:名詞	얼음:NNG
火遊び:名詞	불장난:NNG
仕業:名詞	짓:NNG
順序:名詞	순서:NNG
沼:名詞	늪:NNG
全国:名詞	전국:NNG
狼:名詞	늑대:NNG
一晩:名詞|一夜:名詞	하룻밤:NNG|밤새:VV
熊:名詞	곰:NNG
タバコ:名詞	담배:NNG
会社:名詞	회사:NNG|직장:NNG
競争:名詞	경쟁:NNG
雰囲気:名詞	분위기:NNG
布団:名詞	이불:NNG
塵:名詞	먼지:NNG
ルーレット:名詞	룰렛:NNG
番号:名詞	번호:NNG
終日:名詞	종일:NNG
反則:名詞	반칙:NNG
薬:名詞	약:NNG
苦痛:名詞	고통:NNG
規則:名詞	규칙:NNG
話題:名詞	화제:NNG
判断:名詞	판단:NNG
減らす:動詞	줄이:VV
おしり:名詞	엉덩이:NNG
嫌気:名詞	싫증:NNG|짜증:NNG
立場:名詞	입장:NNG
売る:動詞	팔:VV
目前:名詞	눈앞:NNG
退く:動詞	물러서:VV
話し方:名詞	말투:NNG
ハチミツ:名詞	꿀:NNG
パン:名詞	빵:NNG
顎:名詞	턱:NNG
居る:動詞	머물:VV
雪:名詞	눈송이:NNG
不思議:名詞	신기:NNG
最初:名詞	최초:NNG
今年:名詞	올해:NNG
幻:名詞	환상:NNG
火:名詞	불:NNG
革命:名詞	혁명:NNG
流れ:名詞	흐름:NNG
静か:名詞	고요:NNG
リズム:名詞	리듬:NNG
無限:名詞	무한:NNG
隙間:名詞	틈새:NNG|틈:NNG
仕方:名詞	방법:NNG
ハッピー:名詞	해피:NNG
イメージ:名詞	이미지:NNG
ルール:名詞	룰:NNG
ストーリー:名詞	스토리:NNG
嵐:名詞	폭풍:NNG
鳥:名詞	새:NNG
爪:名詞	손톱:NNG
モンスター:名詞	몬스터:NNP
勝利:名詞|勝ち:名詞	승리:NNG
翼:名詞	날개:NNG
左:名詞	왼쪽:NNG
メッセージ:名詞	메시지:NNG
足音:名詞	발소리:NNG
謎:名詞	수수께끼:NNG
山:名詞	산:NNG
真っ白:名詞	하얀색:NNG
指先:名詞	손끝:NNG
歴史:名詞	역사:NNG
支配:名詞	지배:NNG
地図:名詞	지도:NNG
川:名詞	강물:NNG
ステップ:名詞	스텝:NNG
ヒーロー:名詞	영웅:NNG
訳:名詞	사연:NNG
アップ:名詞	업:NNG
神:名詞	신:NNG
ナイト:名詞	나이트:NNG
ビート:名詞	비트:NNG
酔う:動詞	취하:VV
敵:名詞	적:NNG
正義:名詞	정의:NNG
証:名詞	증거:NNG
花火:名詞	불꽃놀이:NNG
ページ:名詞	페이지:NNG
右:名詞	오른쪽:NNG
出口:名詞	출구:NNG
家族:名詞	가족:NNG
正解:名詞	정답:NNG
惚れる:動詞	반하:VV
女神:名詞	여신:NNG
絶望:名詞	절망:NNG
叫び:名詞	외침:NNG
バス:名詞	버스:NNG
タイミング:名詞	타이밍:NNG
ダンス:名詞	댄스:NNG
相手:名詞	상대:NNG
価値:名詞	가치:NNG
欲望:名詞	욕망:NNG
ラブ:名詞|ラヴ:名詞	러브:NNG
伝説:名詞	전설:NNG
幸運:名詞|ラッキー:名詞	행운:NNG
愛情:名詞	애정:NNG
自然:名詞	자연:NNG
テキーラ:名詞	테킬라:NNG
バンザイ:名詞	만세:NNG
憂鬱:名詞	우울:NNG
常識:名詞	상식:NNG
カーテン:名詞	커튼:NNG
展開:名詞	전개:NNG
噂:名詞	소문:NNG
カーニバル:名詞	카니발:NNG
挑戦:名詞|チャレンジ:名詞	도전:NNG
チャンピオン:名詞	챔피언:NNG
呼吸:名詞	호흡:NNG
楽園:名詞	낙원:NNG
肌:名詞	피부:NNG|스킨:NNG
ジュース:名詞	주스:NNP
マイク:名詞	마이크:NNG
卒業:名詞	졸업:NNG
店:名詞	가게:NNG
栄光:名詞	영광:NNG
頂上:名詞	정상:NNG
誕生日:名詞	생일:NNG|생일날:NNG
ニュース:名詞	뉴스:NNG
冗談:名詞	농담:NNG
木:名詞	나무:NNG
解く:動詞	풀:VV
乾く:動詞	마르:VV
中毒:名詞	중독:NNG
成功:名詞	성공:NNG
思い浮かべる:動詞|浮かべる:動詞	떠올리:VV
場面:名詞	장면:NNG
悲しむ:動詞	슬퍼하:VV
かっこいい:形容詞	멋있:VA
雷:名詞	천둥:NNG
稲妻:名詞	번개:NNG
アタック:名詞	어택:NNG
悟る:動詞	깨닫:VA
英語:名詞	영어:NNG
疑問:名詞	의문:NNG
招待:名詞	초대:NNG
密室:名詞	밀실:NNG
新幹線:名詞	신칸센:NNG
暴れる:動詞	날뛰:VV
穴:名詞	구멍:NNG
間違う:動詞	틀리:VA
さむい:形容詞	춥다:NNP
悟り:名詞	깨달음:NNG
霧:名詞	안개:NNG
ストレス:名詞	스트레스:NNG
疾走:名詞	질주:NNG
攻撃:名詞	공격:NNG
運:名詞	운:NNG
オレンジ:名詞	오렌지:NNG
森:名詞	숲:NNG
決心:名詞	결심:NNG
舌:名詞	혀:NNG
不満:名詞	불만:NNG
シーズン:名詞	시즌:NNG
熱気:名詞	열기:NNG
説教:名詞	설교:NNG
成長:名詞	성장:NNG
さじ:名詞|スプーン:名詞	숟가락:NNG|스푼:NNG
途中:名詞	도중:NNG
蛍:名詞	반딧불:NNG
沈む:動詞	가라앉:VV
武器:名詞	무기:NNG
ボタン:名詞	버튼:NNG
才能:名詞	재능:NNG
平日:名詞	평일:NNG
白黒:名詞	흑백:NNG
ビジネス:名詞	비지니스:NNG
枕:名詞|まくら:名詞	베개:NNG
飲み込む:動詞	삼키:VV
アルバム:名詞	앨범:NNG|사진첩:NNG
小説:名詞	소설:NNG
タクシー:名詞	택시:NNG
天井:名詞	천장:NNG
直感:名詞	직감:NNG
態度:名詞	태도:NNG
解決:名詞	해결:NNG
少年:名詞	소년:NNG
変化:名詞	변화:NNG
ララバイ:名詞	자장가:NNG|자장노래:NNG
染みる:動詞	스며들:VV
軽い:形容詞|かるい:形容詞	가볍:VA
道路:名詞	도로:NNG
苦しめる:動詞	괴롭히:VV
恨み:名詞	원망:NNG
ラジオ:名詞	라디오:NNG
試験:名詞|期末テスト:名詞	시험:NNG
渡る:動詞	건너:VV
苦労:名詞	고생:NNG
安心:名詞	안심:NNG
真珠:名詞	진주:NNP
生徒:名詞	학생:NNG
信頼:名詞	믿음:NNG
崩れる:動詞|倒れる:動詞	무너지:VV|쓰러지:VV
ナイフ:名詞	칼:NNG
机:名詞	책상:NNG
計算:名詞	계산:NNG
コップ:名詞	컵:NNG
メンタル:名詞	멘탈:NNG
しっぽ:名詞	꼬리:NNG
巻き返す:動詞	되감:VV
本:名詞	책:NNG
骨:名詞	뼈:NNG
チーム:名詞	팀:NNG
共感:名詞	공감:NNG
休日:名詞	휴일:NNG
崩壊:名詞	붕괴:NNG
足元:名詞|足下:名詞	발치:NNG
突き出す:動詞	내밀:VV
床:名詞	바닥:NNG
出くわす:動詞|遭遇:名詞	마주치:VV
縛る:動詞	묶:VV
座標:名詞	좌표:NNG
回る:動詞	맴돌:VV
誘う:動詞	꼬시:VV
コンビニ:名詞	편의점:NNG
紙:名詞	종이:NNG
目覚める:動詞|覚める:動詞	눈뜨:VV|깨:VV
合わせる:動詞	맞추:VV
よぎる:動詞|かすめる:動詞|横切る:動詞	스치:VV
興奮:名詞	흥분:NNG
惑星:名詞	행성:NNG
燃え上がる:動詞	타오르:VV
取り戻す:動詞	되찾:VV
ただ:名詞	공짜:NNG
重ねる:動詞	쌓:VV
諦める:動詞|あきらめる:動詞|あきらめ:名詞	포기:NNG|체념:NNG|단념:NNG
洗う:動詞	씻:VV
折る:動詞	접:VV|꺾:VV
父:名詞|父さん:名詞|お父さん:名詞|父ちゃん:名詞|お父ちゃん:名詞|親父:名詞|パパ:名詞	아버지:NNG|아빠:NNG
火花:名詞	불꽃:NNG
主人公:名詞|主役:名詞	주인공:NNG
背:名詞	키:NNG
偽物:名詞	가짜:NNG
かむ:動詞	깨물:VV
嘲笑う:動詞	비웃:VV
姉さん:名詞|お姉ちゃん:名詞|姉ちゃん:名詞	언니:NNG|누나:NNG
吠える:動詞	짖:VV
飛行機:名詞	비행기:NNG
ペダル:名詞	페달:NNG
コート:名詞	코트:NNG
錯覚:名詞	착각:NNG
息づく:動詞	숨쉬:VV
逃れる:動詞	벗어나:VV
鮮やか:名詞|鮮明:名詞	선명:NNG
冷める:動詞	식:VV
捕まる:動詞|つかまる:動詞	잡히:VV
浮かれる:動詞	신나:VV
紐:名詞|ひも:名詞	끈:NNG
弟:名詞|妹:名詞	동생:NNG|남동생:NNG
兄弟:名詞	형제:NNG
兄貴:名詞|兄ちゃん:名詞|兄さん:名詞	오빠:NNG|형:NNG
焦がす:動詞	애타:VV
エンディング:名詞	엔딩:NNG
満たす:動詞	채우:VV
磨く:動詞|拭く:動詞	닦:VV
親:名詞	부모:NNG
親指:名詞	엄지:NNG
おもてなし:名詞	대접:NNG
混ざる:動詞|交じる:動詞	섞이:VV
満月:名詞	보름달:NNG
素顔:名詞	민낯:NNG
チラつく:動詞	아른거리:VV
枯れる:動詞	시들:VV
おかげ:名詞	덕분:NNG
真っ白い:形容詞	새하얗:VA
清い:形容詞	맑:VA
下手:名詞|不器用:名詞	서툴:VA
うつむく:動詞	떨구:VV
人形:名詞	인형:NNG
囁き:名詞	속삭임:NNG
投げる:動詞	던지:VV
含む:動詞	머금:VV
面白い:形容詞|おもしろい:形容詞	재밌:VA|재미있:VA
空色:名詞	하늘색:NNG
先輩:名詞	선배:NNG
炎:名詞	불길:NNG
夕方:名詞	저녁:NNG
泡:名詞|バブル:名詞	거품:NNG
水の泡:名詞	물거품:NNG
制服:名詞	교복:NNG
旋律:名詞	선율:NNG
遊び:名詞	놀이:NNG
百合:名詞	백합:NNG
痕跡:名詞|跡形:名詞	흔적:NNG
空虚:名詞|空っぽ:名詞	공허:NNG
ツバ:名詞	침:NNG
ねだる:動詞	보채:VV
入る:動詞	들어가:VV|들어오:VV
土曜日:名詞	토요일:NNG
覆う:動詞	덮:VV
つぶる:動詞	눈감:VV
仕草:名詞|しぐさ:名詞	몸짓:NNG|제스처:NNG
幼い:形容詞	어리:VA
近所:名詞	동네:NNG
反応:名詞	반응:NNG
避ける:動詞	피하:VV
委ねる:動詞|ゆだねる:動詞|預ける:動詞|あずける:動詞	맡기:VV
引く:動詞	끌:VV
飽きる:動詞|懲りる:動詞	질리:VV
慰める:動詞|なぐさめる:動詞	달래:VV
法:名詞|法律:名詞	법:NNG
魔法使い:名詞	마법사:NNG
買い物:名詞	쇼핑:NNG
鋭い:形容詞	날카롭:VA
憎しみ:名詞	증오:NNG|미움:NNG
横断歩道:名詞	횡단보도:NNG
計画:名詞	계획:NNG
都市:名詞	도시:NNG
外見:名詞	외모:NNG
詰まる:動詞	막히:VV
育つ:動詞	자라:VV
急ぐ:動詞	서두르:VV
同情:名詞	동정:NNG
返す:動詞	돌려주:VV
立てる:動詞	세우:VV
ハマる:動詞	빠져들:VV
追う:動詞	따르:VV
左手:名詞	왼손:NNG
右手:名詞	오른손:NNG
プロフィール:名詞	프로필:NNG
征服:名詞	정복:NNG
疑い:名詞	의심:NNG
純情:名詞	순정:NNG
惨い:形容詞	모질:VA
通う:動詞	다니:VV
愛嬌:名詞	애교:NNG
突き抜く:動詞|突き抜ける:動詞	뚫:VV
様子:名詞	모양:NNG
ビル:名詞	빌딩:NNG
死:名詞	죽음:NNG
よろける:動詞	비틀대:VV
野暮:名詞	촌스럽:VA
昔:名詞	옛날:NNG
毒:名詞	독:NNG
荷物:名詞	짐:NNG
戻す:動詞	되돌리:VV
棘:名詞|トゲ:名詞	가시:NNG
足首:名詞	발목:NNG
人間:名詞	인간:NNG
芸術:名詞	예술:NNG
資格:名詞	자격:NNG
ありふれる:動詞	흔하:VA
中心:名詞	중심:NNG
祝福:名詞	축복:NNG
怒る:動詞	화내:VV
刺す:動詞|突き刺す:動詞	찌르:VV
財布:名詞	지갑:NNG
王子:名詞	왕자:NNG
カップル:名詞	커플:NNG
街灯:名詞	가로등:NNG
混乱:名詞	혼란:NNG
手首:名詞	손목:NNG
あくび:名詞	하품:NNG
躊躇:名詞	주저:NNG
流れ落ちる:動詞	흘러내리:VV
力強い:形容詞	세:VA
落ち葉:名詞	낙엽:NNG
満足:名詞	만족:NNG
空白:名詞	공백:NNG
おかしい:形容詞|面白おかしい:形容詞	우습:VA
沈黙:名詞	침묵:NNG
名誉:名詞	명예:NNG
バラ:名詞|薔薇:名詞	장미:NNG
結末:名詞	결말:NNG
チョコレート:名詞|チョコ:名詞	초콜렛:NNG|초콜릿:NNG
アルコール:名詞	알콜:NNG
クリスタル:名詞	크리스탈:NNP
散歩:名詞	산책:NNG
慰め:名詞	위안:NNG|위로:NNG
テーブル:名詞	테이블:NNG
ムード:名詞	무드:NNG
汚れる:動詞	더러워지:VV|더럽히:VV
情報:名詞	정보:NNG
